| Step Name       | Description                                                                                                                                                                                                                                                                                                                                                              | Expected Result                                                                      
| Step 1          | open the browser and enter the test url(www.vinder.com) and click on go button                                                                                                                                                                                                                                                                                           | welcome page should display                                                          
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 2          | enter valid user name(rashmi@dell.com) and password(123456), click on signin button                                                                                                                                                                                                                                                                                      | home page should display                                                             
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 3          | click on log module                                                                                                                                                                                                                                                                                                                                                      | log list page should display                                                         
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 4          | click on new log button                                                                                                                                                                                                                                                                                                                                                  | creat log page should display                                                        
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 5          | enter valid data into all the fields(Name,log Site,Parent Account,log Number,log Type,Industry,Actual Revenue,Rating,Phone,Fax,Website,Ticker Symbol,Ownership,Employees,SIC Code,Billing Street,Billing City,Billing State,Billing Zip,Billing Country,Shopping Street,Shopping City,Shopping State,Shopping Zip,Shopping Country,Description.)and click on save button | log details page should display                                                      
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 6          | click on log module                                                                                                                                                                                                                                                                                                                                                      | a) log list page should display b) newly created log details should display          
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 7          | click on edit button                                                                                                                                                                                                                                                                                                                                                     | a) edit log page should displayb) newly created log details should display           
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 8          | click on clone button                                                                                                                                                                                                                                                                                                                                                    | a) clone log page should displayb) newly created log details should display          
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 9          | click on print preview button                                                                                                                                                                                                                                                                                                                                            | a) clone log page should displayb) newly created log details should display          
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 10         | click on report module                                                                                                                                                                                                                                                                                                                                                   | report page should display                                                           
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 11         | click on log and record link                                                                                                                                                                                                                                                                                                                                             | report name and description should display                                           
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 12         | click on log by industry link                                                                                                                                                                                                                                                                                                                                            | a) log by industry page should displayb) newly created log details should display    
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 13         | click on record module                                                                                                                                                                                                                                                                                                                                                   | all record page should display                                                       
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 14         | click on new record button                                                                                                                                                                                                                                                                                                                                               | create new record  page should display                                               
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 15         | click on log name look up icon                                                                                                                                                                                                                                                                                                                                           | a) log name look up  page should displayb) newly created log details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 16         | click on venture module                                                                                                                                                                                                                                                                                                                                                  | venture list page should display                                                     
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 17         | click on new venture button                                                                                                                                                                                                                                                                                                                                              | create new venture  page should display                                              
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 18         | click on log name look up icon                                                                                                                                                                                                                                                                                                                                           | a) log name look up  page should displayb) newly created log details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 19         | click on reference module                                                                                                                                                                                                                                                                                                                                                | all reference page should display                                                    
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 20         | click on new reference button                                                                                                                                                                                                                                                                                                                                            | create new reference  page should display                                            
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 21         | click on log name look up icon                                                                                                                                                                                                                                                                                                                                           | a) log name look up  page should displayb) newly created log details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 22         | click on soldlist module                                                                                                                                                                                                                                                                                                                                                 | all soldlist page should display                                                     
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 23         | click on new soldlist button                                                                                                                                                                                                                                                                                                                                             | create new soldlist  page should display                                             
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 24         | click on log name look up icon                                                                                                                                                                                                                                                                                                                                           | a) log name look up  page should displayb) newly created log details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 25         | click on bill module                                                                                                                                                                                                                                                                                                                                                     | all bill page should display                                                         
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 26         | click on new reference button                                                                                                                                                                                                                                                                                                                                            | create new bill  page should display                                                 
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
| Step 27         | click on log name look up icon                                                                                                                                                                                                                                                                                                                                           | a) log name look up  page should displayb) newly created log details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                          |                                                                                      
