| Step Name       | Description                                                                                                                                                                                                                                                                                                                                                                       | Expected Result                                                                            
| Step 1          | open the browser and enter the test url(www.vinder.com) and click on go button                                                                                                                                                                                                                                                                                                    | welcome page should display                                                                
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 2          | enter valid user name(rashmi@dell.com) and password(123456), click on signin button                                                                                                                                                                                                                                                                                               | home page should display                                                                   
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 3          | click on record module                                                                                                                                                                                                                                                                                                                                                            | all record page should display                                                             
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 4          | click on new record button                                                                                                                                                                                                                                                                                                                                                        | creat record page should display                                                           
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 5          | enter valid data into all the fields(First name,record name,Email,Department,Home phone,Fax,Date of Birth,Asst Phone,Lead source,Last name,Vendor name,Title,Phone,Other Phone,Mobile,Assistant,Report to,Mailing Street,Mailing City,Mailing State,Mailing Zip,Mailing Country,Other Street,Other City,Other State,Other Zip,Other Country,Description.)and click on save button | record details page should display                                                         
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 6          | click on record module                                                                                                                                                                                                                                                                                                                                                            | a) all record page should display b) newly created record details should display           
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 7          | click on edit button                                                                                                                                                                                                                                                                                                                                                              | a) edit record page should displayb) newly created record details should display           
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 8          | click on clone button                                                                                                                                                                                                                                                                                                                                                             | a) clone record page should displayb) newly created record details should display          
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 9          | click on print preview button                                                                                                                                                                                                                                                                                                                                                     | a) print preview page should displayb) newly created record details should display         
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 10         | click on report module                                                                                                                                                                                                                                                                                                                                                            | report page should display                                                                 
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 11         | click on log and record reports link                                                                                                                                                                                                                                                                                                                                              | report name and description should display                                                 
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 12         | click on any log and record name link                                                                                                                                                                                                                                                                                                                                             | a) record mailling list page should displayb) newly created leads details should display   
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 13         | click on reference module                                                                                                                                                                                                                                                                                                                                                         | all reference page should display                                                          
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 14         | click on new reference button                                                                                                                                                                                                                                                                                                                                                     | create new reference  page should display                                                  
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 15         | click on record name look up icon                                                                                                                                                                                                                                                                                                                                                 | a) record name look up  page should displayb) newly created record details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 16         | click on soldlist module                                                                                                                                                                                                                                                                                                                                                          | soldlist page should display                                                               
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 17         | click on new soldlist button                                                                                                                                                                                                                                                                                                                                                      | create new soldlist  page should display                                                   
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 18         | click on record name look up icon                                                                                                                                                                                                                                                                                                                                                 | a) record name look up  page should displayb) newly created record details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 19         | click on requsition module                                                                                                                                                                                                                                                                                                                                                        | requsition page should display                                                             
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 20         | click on new requsition button                                                                                                                                                                                                                                                                                                                                                    | create new requsition  page should display                                                 
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
| Step 21         | click on record name look up icon                                                                                                                                                                                                                                                                                                                                                 | a) record name look up  page should displayb) newly created record details should display  
|                 |                                                                                                                                                                                                                                                                                                                                                                                   |                                                                                            
